x_m,y_m
17.047948,-6.034911
17.132183,-5.980212
17.215160,-5.923920
17.296804,-5.866016
17.377038,-5.806477
17.455787,-5.745285
17.532976,-5.682418
17.608527,-5.617857
17.682366,-5.551580
17.754417,-5.483567
17.824603,-5.413798
17.892850,-5.342252
17.959081,-5.268909
18.023220,-5.193749
18.085192,-5.116750
18.144923,-5.037895
18.202385,-4.957216
18.257589,-4.874792
18.310551,-4.790704
18.361285,-4.705033
18.409804,-4.617858
18.456125,-4.529262
18.500260,-4.439324
18.542225,-4.348126
18.582033,-4.255748
18.619700,-4.162272
18.655239,-4.067777
18.688665,-3.972344
18.719993,-3.876055
18.749236,-3.778989
18.776409,-3.681229
18.801527,-3.582854
18.824604,-3.483945
18.845654,-3.384583
18.864691,-3.284849
18.881731,-3.184824
18.896787,-3.084587
18.909874,-2.984221
18.921007,-2.883805
18.930198,-2.783421
18.937465,-2.683145
18.942835,-2.583010
18.946343,-2.483019
18.948026,-2.383174
18.947918,-2.283479
18.946057,-2.183936
18.942477,-2.084547
18.937215,-1.985316
18.930307,-1.886246
18.921787,-1.787338
18.911693,-1.688595
18.900059,-1.590022
18.886922,-1.491619
18.872318,-1.393390
18.856282,-1.295338
18.838851,-1.197464
18.820059,-1.099773
18.799943,-1.002267
18.778539,-0.904948
18.755882,-0.807819
18.732008,-0.710883
18.706954,-0.614143
18.680755,-0.517601
18.653446,-0.421260
18.625064,-0.325122
18.595644,-0.229191
18.565223,-0.133470
18.533836,-0.037960
18.501518,0.057335
18.468306,0.152413
18.434236,0.247270
18.399343,0.341905
18.363664,0.436314
18.327233,0.530495
18.290087,0.624445
18.252262,0.718161
18.213793,0.811641
18.174717,0.904882
18.135069,0.997881
18.094884,1.090635
18.054200,1.183142
18.013051,1.275399
17.971473,1.367403
17.929503,1.459152
17.887176,1.550642
17.844528,1.641872
17.801594,1.732838
17.758411,1.823538
17.715014,1.913968
17.671437,2.004128
17.627694,2.094032
17.583787,2.183698
17.539722,2.273148
17.495502,2.362401
17.451130,2.451477
17.406611,2.540396
17.361949,2.629179
17.317146,2.717846
17.272208,2.806416
17.227138,2.894909
17.181939,2.983346
17.136616,3.071747
17.091172,3.160132
17.045612,3.248521
16.999939,3.336933
16.954156,3.425390
16.908268,3.513911
16.862279,3.602516
16.816193,3.691225
16.770012,3.780059
16.723742,3.869037
16.677385,3.958179
16.630946,4.047506
16.584420,4.137027
16.537731,4.226668
16.490775,4.316318
16.443446,4.405865
16.395639,4.495200
16.347246,4.584209
16.298164,4.672783
16.248285,4.760810
16.197505,4.848178
16.145718,4.934777
16.092817,5.020495
16.038698,5.105222
15.983254,5.188845
15.926381,5.271253
15.867971,5.352336
15.807920,5.431982
15.746121,5.510080
15.682470,5.586519
15.616860,5.661187
15.549186,5.733973
15.479341,5.804766
15.407221,5.873455
15.332719,5.939929
15.255730,6.004075
15.176179,6.065747
15.094149,6.124591
15.009781,6.180189
14.923214,6.232120
14.834588,6.279966
14.744042,6.323306
14.651714,6.361720
14.557746,6.394790
14.462276,6.422095
14.365443,6.443217
14.267388,6.457734
14.168249,6.465229
14.068255,6.465468
13.967851,6.458673
13.867511,6.445128
13.767710,6.425119
13.668925,6.398933
13.571630,6.366856
13.476301,6.329173
13.383413,6.286171
13.293442,6.238136
13.206862,6.185353
13.124149,6.128109
13.045764,6.066687
12.971899,6.001329
12.902498,5.932235
12.837499,5.859607
12.776839,5.783643
12.720456,5.704545
12.668286,5.622512
12.620266,5.537745
12.576335,5.450444
12.536429,5.360810
12.500485,5.269041
12.468441,5.175340
12.440234,5.079906
12.415800,4.982938
12.395078,4.884638
12.378004,4.785206
12.364515,4.684841
12.354550,4.583744
12.348044,4.482116
12.344935,4.380156
12.345161,4.278065
12.348659,4.176043
12.355365,4.074290
12.365217,3.973006
12.378153,3.872392
12.394100,3.772617
12.412952,3.673704
12.434588,3.575632
12.458888,3.478380
12.485732,3.381925
12.514999,3.286247
12.546571,3.191324
12.580326,3.097134
12.616146,3.003656
12.653909,2.910869
12.693496,2.818750
12.734787,2.727280
12.777662,2.636436
12.822001,2.546196
12.867683,2.456539
12.914590,2.367445
12.962600,2.278891
13.011594,2.190855
13.061452,2.103317
13.112054,2.016255
13.163279,1.929648
13.215008,1.843473
13.267122,1.757710
13.319498,1.672337
13.372035,1.587328
13.424690,1.502640
13.477436,1.418224
13.530245,1.334033
13.583089,1.250020
13.635941,1.166136
13.688774,1.082335
13.741559,0.998568
13.794269,0.914787
13.846877,0.830946
13.899354,0.746995
13.951675,0.662889
14.003810,0.578578
14.055732,0.494016
14.107414,0.409154
14.158828,0.323946
14.209946,0.238342
14.260742,0.152296
14.311187,0.065761
14.361254,-0.021313
14.410915,-0.108972
14.460142,-0.197264
14.508909,-0.286237
14.557187,-0.375939
14.604914,-0.466398
14.651905,-0.557585
14.697949,-0.649453
14.742838,-0.741960
14.786360,-0.835061
14.828305,-0.928711
14.868464,-1.022867
14.906626,-1.117483
14.942582,-1.212515
14.976121,-1.307919
15.007032,-1.403651
15.035107,-1.499667
15.060134,-1.595921
15.081904,-1.692370
15.100207,-1.788969
15.114832,-1.885674
15.125570,-1.982441
15.132209,-2.079225
15.134541,-2.175981
15.132355,-2.272667
15.125440,-2.369236
15.113588,-2.465645
15.096587,-2.561850
15.074229,-2.657805
15.046443,-2.753393
15.013413,-2.848364
14.975347,-2.942455
14.932455,-3.035400
14.884948,-3.126937
14.833036,-3.216800
14.776927,-3.304726
14.716833,-3.390451
14.652963,-3.473710
14.585526,-3.554240
14.514733,-3.631777
14.440793,-3.706055
14.363917,-3.776812
14.284314,-3.843784
14.202194,-3.906705
14.117767,-3.965312
14.031242,-4.019341
13.942830,-4.068529
13.852741,-4.112609
13.761184,-4.151320
13.668369,-4.184396
13.574506,-4.211573
13.479804,-4.232588
13.384475,-4.247177
13.288728,-4.255111
13.192781,-4.256469
13.096853,-4.251477
13.001166,-4.240361
12.905939,-4.223348
12.811394,-4.200666
12.717750,-4.172540
12.625229,-4.139199
12.534049,-4.100869
12.444433,-4.057777
12.356599,-4.010150
12.270770,-3.958215
12.187164,-3.902199
12.106002,-3.842328
12.027506,-3.778830
11.951895,-3.711932
11.879389,-3.641860
11.810209,-3.568842
11.744576,-3.493105
11.682710,-3.414874
11.624831,-3.334379
11.571159,-3.251844
11.521916,-3.167498
11.477318,-3.081565
11.437407,-2.994204
11.401982,-2.905474
11.370821,-2.815428
11.343700,-2.724119
11.320398,-2.631601
11.300693,-2.537925
11.284364,-2.443145
11.271187,-2.347314
11.260941,-2.250484
11.253404,-2.152709
11.248354,-2.054041
11.245568,-1.954533
11.244826,-1.854239
11.245904,-1.753210
11.248580,-1.651500
11.252634,-1.549162
11.257842,-1.446249
11.263982,-1.342813
11.270833,-1.238908
11.278173,-1.134586
11.285779,-1.029900
11.293429,-0.924903
11.300902,-0.819648
11.307977,-0.714188
11.314478,-0.608591
11.320275,-0.502940
11.325238,-0.397316
11.329238,-0.291803
11.332146,-0.186482
11.333834,-0.081438
11.334173,0.023248
11.333032,0.127493
11.330284,0.231215
11.325799,0.334330
11.319448,0.436756
11.311102,0.538410
11.300633,0.639210
11.287911,0.739073
11.272807,0.837916
11.255192,0.935657
11.234937,1.032213
11.211914,1.127502
11.185993,1.221440
11.157045,1.313945
11.124941,1.404934
11.089552,1.494326
11.050749,1.582036
11.008413,1.667985
10.962560,1.752128
10.913309,1.834447
10.860783,1.914925
10.805105,1.993544
10.746395,2.070287
10.684778,2.145137
10.620374,2.218077
10.553306,2.289088
10.483696,2.358155
10.411668,2.425259
10.337342,2.490383
10.260841,2.553510
10.182287,2.614623
10.101803,2.673703
10.019511,2.730735
9.935532,2.785701
9.849990,2.838583
9.763007,2.889363
