x_m,y_m,v_mps
9.4807,-8.5524,6.153
9.5803,-8.5422,6.295
9.6796,-8.5300,6.437
9.7788,-8.5161,6.575
9.8776,-8.5005,6.710
9.9763,-8.4834,6.842
10.0746,-8.4649,6.970
10.1728,-8.4454,7.096
10.2708,-8.4248,7.219
10.3685,-8.4032,7.339
10.4661,-8.3809,7.458
10.5635,-8.3579,7.573
10.6608,-8.3344,7.687
10.7580,-8.3103,7.799
10.8550,-8.2859,7.908
10.9520,-8.2611,8.016
11.0489,-8.2361,8.121
11.1458,-8.2108,8.225
11.2426,-8.1854,8.327
11.3393,-8.1597,8.428
11.4361,-8.1340,8.527
11.5328,-8.1081,8.625
11.6294,-8.0821,8.721
11.7261,-8.0560,8.815
11.8227,-8.0299,8.908
11.9193,-8.0037,9.000
12.0159,-7.9774,9.091
12.1124,-7.9510,9.180
12.2090,-7.9245,9.268
12.3055,-7.8980,9.355
12.4019,-7.8712,9.441
12.4984,-7.8445,9.526
12.5948,-7.8176,9.609
12.6912,-7.7906,9.692
12.7875,-7.7634,9.773
12.8839,-7.7362,9.854
12.9801,-7.7088,9.933
13.0764,-7.6812,10.012
13.1725,-7.6534,10.090
13.2686,-7.6255,10.166
13.3647,-7.5973,10.242
13.4607,-7.5690,10.317
13.5566,-7.5404,10.392
13.6525,-7.5116,10.465
13.7483,-7.4827,10.538
13.8440,-7.4533,10.609
13.9397,-7.4239,10.680
14.0352,-7.3941,10.751
14.1307,-7.3641,10.820
14.2261,-7.3338,10.889
14.3214,-7.3032,10.957
14.4166,-7.2722,11.024
14.5117,-7.2410,11.091
14.6067,-7.2094,11.157
14.7015,-7.1774,11.223
14.7963,-7.1450,11.224
14.8908,-7.1121,11.114
14.9852,-7.0789,11.003
15.0794,-7.0450,10.892
15.1734,-7.0107,10.780
15.2673,-6.9758,10.667
15.3608,-6.9403,10.553
15.4541,-6.9040,10.439
15.5472,-6.8671,10.324
15.6399,-6.8294,10.207
15.7323,-6.7910,10.091
15.8244,-6.7516,9.973
15.9161,-6.7115,9.854
16.0073,-6.6704,9.734
16.0981,-6.6283,9.614
16.1885,-6.5853,9.492
16.2784,-6.5411,9.369
16.3677,-6.4959,9.245
16.4564,-6.4497,9.120
16.5446,-6.4022,8.994
16.6321,-6.3536,8.866
16.7190,-6.3039,8.737
16.8051,-6.2529,8.607
16.8905,-6.2006,8.475
16.9751,-6.1472,8.342
17.0588,-6.0923,8.207
17.1417,-6.0362,8.070
17.2236,-5.9786,7.931
17.3045,-5.9197,7.791
17.3844,-5.8594,7.649
17.4631,-5.7976,7.504
17.5408,-5.7344,7.357
17.6172,-5.6697,7.208
17.6923,-5.6035,7.056
17.7659,-5.5357,6.902
17.8381,-5.4664,6.760
17.9088,-5.3956,6.649
17.9779,-5.3231,6.493
18.0451,-5.2490,6.387
18.1106,-5.1733,6.315
18.1741,-5.0959,6.234
18.2356,-5.0169,6.132
18.2951,-4.9364,6.100
18.3523,-4.8543,6.045
18.4072,-4.7706,5.984
18.4598,-4.6854,5.968
18.5099,-4.5988,5.948
18.5575,-4.5107,5.881
18.6027,-4.4214,5.877
18.6451,-4.3307,5.890
18.6850,-4.2389,5.976
18.7225,-4.1461,6.044
18.7572,-4.0522,6.080
18.7895,-3.9575,6.193
18.8191,-3.8619,6.272
18.8462,-3.7655,6.385
18.8709,-3.6685,6.524
18.8931,-3.5709,6.660
18.9129,-3.4728,6.793
18.9303,-3.3742,6.923
18.9453,-3.2752,7.050
18.9582,-3.1760,7.174
18.9688,-3.0764,7.295
18.9773,-2.9767,7.414
18.9836,-2.8768,7.531
18.9878,-2.7768,7.645
18.9901,-2.6767,7.757
18.9905,-2.5766,7.868
18.9889,-2.4765,7.976
18.9856,-2.3765,8.082
18.9805,-2.2765,8.187
18.9737,-2.1767,8.290
18.9653,-2.0769,8.391
18.9553,-1.9773,8.491
18.9439,-1.8779,8.589
18.9309,-1.7786,8.685
18.9165,-1.6796,8.780
18.9008,-1.5807,8.874
18.8838,-1.4821,8.966
18.8655,-1.3837,9.057
18.8460,-1.2855,9.147
18.8254,-1.1875,9.236
18.8035,-1.0899,9.323
18.7806,-0.9924,9.409
18.7565,-0.8953,9.494
18.7314,-0.7984,9.578
18.7051,-0.7018,9.661
18.6779,-0.6055,9.743
18.6495,-0.5095,9.824
18.6201,-0.4138,9.904
18.5897,-0.3184,9.983
18.5583,-0.2234,10.061
18.5256,-0.1288,10.138
18.4920,-0.0345,10.214
18.4573,0.0594,10.290
18.4218,0.1530,10.364
18.3851,0.2461,10.438
18.3474,0.3388,10.511
18.3087,0.4312,10.583
18.2689,0.5230,10.654
18.2284,0.6146,10.725
18.1870,0.7057,10.794
18.1446,0.7964,10.864
18.1015,0.8867,10.932
18.0576,0.9767,11.000
18.0132,1.0664,11.067
17.9682,1.1558,11.133
17.9227,1.2449,11.199
17.8767,1.3338,11.264
17.8306,1.4227,11.328
17.7840,1.5112,11.392
17.7369,1.5996,11.455
17.6898,1.6879,11.517
17.6424,1.7761,11.579
17.5950,1.8642,11.641
17.5474,1.9523,11.702
17.4996,2.0402,11.762
17.4516,2.1281,11.822
17.4034,2.2158,11.881
17.3550,2.3034,11.939
17.3062,2.3908,11.998
17.2564,2.4776,12.055
17.2067,2.5645,12.112
17.1566,2.6512,12.169
17.1058,2.7374,12.079
17.0544,2.8233,11.974
17.0024,2.9088,11.868
16.9497,2.9939,11.761
16.8962,3.0785,11.654
16.8420,3.1627,11.546
16.7871,3.2464,11.438
16.7313,3.3295,11.329
16.6749,3.4122,11.220
16.6177,3.4943,11.109
16.5596,3.5759,10.999
16.5009,3.6569,10.887
16.4414,3.7374,10.775
16.3811,3.8173,10.662
16.3200,3.8966,10.548
16.2580,3.9752,10.434
16.1953,4.0533,10.319
16.1319,4.1306,10.203
16.0674,4.2073,10.086
16.0020,4.2830,9.968
15.9357,4.3580,9.849
15.8684,4.4321,9.730
15.8002,4.5053,9.609
15.7309,4.5776,9.487
15.6607,4.6489,9.364
15.5894,4.7192,9.240
15.5172,4.7885,9.115
15.4440,4.8568,8.989
15.3699,4.9241,8.861
15.2948,4.9902,8.732
15.2187,5.0553,8.602
15.1418,5.1194,8.470
15.0641,5.1825,8.336
14.9855,5.2444,8.201
14.9060,5.3053,8.064
14.8258,5.3651,7.926
14.7446,5.4236,7.785
14.6624,5.4808,7.643
14.5794,5.5367,7.498
14.4953,5.5910,7.351
14.4099,5.6433,7.202
14.3233,5.6934,7.050
14.2351,5.7408,6.896
14.1453,5.7850,6.738
14.0537,5.8255,6.578
13.9602,5.8611,6.414
13.8647,5.8910,6.246
13.7672,5.9138,6.075
13.6681,5.9281,5.899
13.5681,5.9319,5.719
13.4683,5.9238,5.533
13.3706,5.9021,5.342
13.2773,5.8659,5.145
13.1908,5.8155,4.940
13.1135,5.7520,4.728
13.0465,5.6776,4.507
12.9904,5.5947,4.289
12.9447,5.5056,4.157
12.9083,5.4124,4.078
12.8804,5.3163,4.053
12.8596,5.2183,4.068
12.8451,5.1193,4.114
12.8361,5.0196,4.183
12.8316,4.9196,4.269
12.8312,4.8195,4.381
12.8346,4.7195,4.453
12.8412,4.6196,4.578
12.8508,4.5200,4.718
12.8631,4.4206,4.857
12.8779,4.3216,5.010
12.8951,4.2230,5.164
12.9144,4.1248,5.321
12.9357,4.0270,5.482
12.9589,3.9296,5.648
12.9837,3.8327,5.808
13.0101,3.7361,5.963
13.0378,3.6399,6.114
13.0666,3.5440,6.261
13.0967,3.4486,6.403
13.1274,3.3533,6.542
13.1590,3.2583,6.678
13.1917,3.1637,6.810
13.2246,3.0692,6.940
13.2579,2.9748,7.066
13.2916,2.8805,7.190
13.3254,2.7863,7.311
13.3597,2.6923,7.430
13.3942,2.5983,7.546
13.4290,2.5045,7.660
13.4638,2.4106,7.772
13.4987,2.3168,7.882
13.5337,2.2230,7.990
13.5688,2.1293,8.096
13.6042,2.0356,8.201
13.6396,1.9420,8.303
13.6752,1.8485,8.404
13.7109,1.7550,8.504
13.7468,1.6615,8.601
13.7828,1.5681,8.698
13.8192,1.4749,8.793
13.8558,1.3817,8.886
13.8926,1.2886,8.978
13.9298,1.1957,9.069
13.9672,1.1029,9.159
14.0052,1.0102,9.247
14.0434,0.9177,9.294
14.0817,0.8253,9.169
14.1205,0.7330,9.043
14.1593,0.6407,8.916
14.1984,0.5485,8.788
14.2375,0.4564,8.658
14.2766,0.3643,8.527
14.3156,0.2721,8.394
14.3543,0.1798,8.260
14.3927,0.0873,8.124
14.4306,-0.0053,7.986
14.4676,-0.0983,7.846
14.5037,-0.1917,7.704
14.5387,-0.2855,7.561
14.5724,-0.3797,7.415
14.6045,-0.4745,7.267
14.6347,-0.5699,7.116
14.6630,-0.6660,6.963
14.6888,-0.7627,6.807
14.7119,-0.8601,6.647
14.7326,-0.9580,6.485
14.7501,-1.0566,6.319
14.7643,-1.1557,6.149
14.7750,-1.2552,5.997
14.7817,-1.3550,5.820
14.7845,-1.4551,5.637
14.7832,-1.5552,5.479
14.7775,-1.6551,5.326
14.7672,-1.7547,5.217
14.7523,-1.8537,5.079
14.7328,-1.9518,4.965
14.7084,-2.0489,4.843
14.6792,-2.1447,4.772
14.6452,-2.2388,4.718
14.6065,-2.3311,4.643
14.5631,-2.4213,4.562
14.5150,-2.5091,4.507
14.4623,-2.5942,4.472
14.4052,-2.6764,4.415
14.3438,-2.7555,4.373
14.2782,-2.8311,4.302
14.2085,-2.9029,4.257
14.1348,-2.9707,4.203
14.0573,-3.0341,4.150
13.9763,-3.0927,4.099
13.8917,-3.1464,4.051
13.8040,-3.1946,3.994
13.7135,-3.2372,3.989
13.6203,-3.2738,3.985
13.5249,-3.3042,3.989
13.4277,-3.3282,3.954
13.3292,-3.3459,3.962
13.2297,-3.3568,3.973
13.1297,-3.3613,4.036
13.0296,-3.3593,4.041
12.9299,-3.3507,4.055
12.8309,-3.3359,4.134
12.7331,-3.3149,4.201
12.6366,-3.2880,4.261
12.5420,-3.2553,4.325
12.4495,-3.2170,4.355
12.3593,-3.1736,4.460
12.2716,-3.1254,4.572
12.1867,-3.0725,4.649
12.1045,-3.0153,4.768
12.0251,-2.9543,4.900
11.9487,-2.8897,5.029
11.8752,-2.8217,5.168
11.8046,-2.7507,5.311
11.7369,-2.6770,5.468
11.6720,-2.6008,5.624
11.6099,-2.5223,5.785
11.5504,-2.4418,5.941
11.4935,-2.3595,6.092
11.4391,-2.2754,6.240
11.3872,-2.1899,6.383
11.3374,-2.1030,6.522
11.2899,-2.0149,6.658
11.2444,-1.9258,6.791
11.2008,-1.8357,6.921
11.1590,-1.7447,7.048
11.1188,-1.6530,7.172
11.0801,-1.5607,7.293
11.0427,-1.4679,7.412
11.0064,-1.3746,7.529
10.9712,-1.2809,7.643
10.9370,-1.1868,7.756
10.9035,-1.0925,7.866
10.8706,-0.9979,7.974
10.8382,-0.9032,8.081
10.8062,-0.8084,8.185
10.7745,-0.7134,8.288
10.7430,-0.6185,8.389
10.7115,-0.5234,8.489
10.6801,-0.4284,8.587
10.6485,-0.3334,8.684
10.6170,-0.2384,8.779
10.5852,-0.1435,8.873
10.5533,-0.0486,8.965
10.5211,0.0462,9.056
10.4887,0.1409,9.146
10.4560,0.2355,9.234
10.4229,0.3300,9.322
10.3897,0.4244,9.408
10.3560,0.5186,9.493
10.3218,0.6127,9.441
10.2873,0.7067,9.317
10.2522,0.8004,9.193
10.2166,0.8940,9.067
10.1803,0.9873,8.940
10.1434,1.0803,8.812
10.1057,1.1730,8.683
10.0671,1.2654,8.552
10.0276,1.3573,8.419
9.9869,1.4488,8.285
9.9451,1.5398,8.149
9.9020,1.6301,8.012
9.8575,1.7198,7.873
9.8116,1.8087,7.731
9.7641,1.8968,7.588
9.7148,1.9839,7.443
9.6637,2.0700,7.295
9.6109,2.1550,7.145
9.5561,2.2388,6.992
9.4993,2.3212,6.836
9.4404,2.4022,6.678
9.3795,2.4816,6.516
9.3163,2.5592,6.351
