x_m,y_m,v_mps
6.047231,6.191299,3.7806
5.948639,6.172536,3.8535
5.850469,6.151681,3.9257
5.752746,6.128818,3.9963
5.655501,6.104003,4.0644
5.558768,6.077263,4.1290
5.462587,6.048597,4.1365
5.367010,6.017980,4.0610
5.272097,5.985364,3.9848
5.177920,5.950678,3.9085
5.084566,5.913836,3.8329
4.992132,5.874740,3.7585
4.900734,5.833282,3.6856
4.810498,5.789353,3.6147
4.721567,5.742837,3.5450
4.634092,5.693638,3.4803
4.548262,5.641622,3.4282
4.464321,5.586611,3.3756
4.382436,5.528583,3.3289
4.302821,5.467477,3.3005
4.225722,5.403227,3.2448
4.151199,5.336006,3.2072
4.079561,5.265718,3.1633
4.010984,5.192441,3.1158
3.945669,5.116242,3.0436
3.883647,5.037338,3.0375
3.825484,4.955549,3.0010
3.771240,4.871110,2.9320
3.720997,4.784231,2.8697
3.675156,4.694950,2.8052
3.634030,4.603402,2.7442
3.598014,4.509726,2.6873
3.567508,4.414113,2.6343
3.542903,4.316815,2.5874
3.524586,4.218139,2.5478
3.512904,4.118460,2.5184
3.508139,4.018212,2.4923
3.510479,3.917878,2.4873
3.519992,3.817969,2.4873
3.536612,3.718993,2.4949
3.560129,3.621426,2.5198
3.590218,3.525681,2.5542
3.626410,3.432073,2.6033
3.667971,3.340721,2.6754
3.714344,3.251716,2.7529
3.764670,3.164885,2.8486
3.817992,3.079861,2.9603
3.873501,2.996248,3.0804
3.930384,2.913563,3.2062
3.987861,2.831290,3.3119
4.045239,2.748949,3.1715
4.101924,2.666128,3.0314
4.157224,2.582377,2.8941
4.210404,2.497264,2.7610
4.260685,2.410406,2.6374
4.307089,2.321417,2.5171
4.348819,2.230143,2.3936
4.385167,2.136595,2.3008
4.414503,2.040617,2.2453
4.435602,1.942498,2.1926
4.447855,1.842888,2.1648
4.450713,1.742567,2.1605
4.444051,1.642427,2.1409
4.427867,1.543379,2.1367
4.402162,1.446366,2.1367
4.367182,1.352298,2.1250
4.323215,1.262080,2.1208
4.270588,1.176623,2.0955
4.209670,1.096865,2.0547
4.140847,1.023819,1.9941
4.064576,0.958587,1.9253
3.981353,0.902495,1.8577
3.891853,0.857083,1.7719
3.797127,0.823927,1.7683
3.698668,0.804479,1.7683
3.598456,0.798998,1.7986
3.498367,0.806382,1.8794
3.399756,0.825045,1.9739
3.303516,0.853512,2.0724
3.210233,0.890533,2.1696
3.120307,0.935096,2.2624
3.034051,0.986401,2.3479
2.951727,1.043805,2.4242
2.873586,1.106783,2.4896
2.799867,1.174885,2.5428
2.730803,1.247704,2.5838
2.666611,1.324852,2.6136
2.607501,1.405959,2.6326
2.553636,1.490640,2.6515
2.505092,1.578481,2.6560
2.462157,1.669194,2.6560
2.424874,1.762373,2.6850
2.392402,1.857336,2.7698
2.364394,1.953710,2.8571
2.340575,2.051204,2.9439
2.320184,2.149472,3.0458
2.302457,2.248256,3.1575
2.286583,2.347354,3.2762
