# x_m, y_m, w_tr_right_m, w_tr_left_m
5.460340, -1.075700, 0.728011, 0.728011
5.531891, -1.049543, 0.715891, 0.715891
5.605146, -1.027500, 0.728011, 0.728011
5.679904, -1.009086, 0.715891, 0.715891
5.753414, -0.987657, 0.715891, 0.715891
5.826314, -0.964757, 0.707107, 0.707107
5.899823, -0.943329, 0.715891, 0.715891
5.970374, -0.914757, 0.696419, 0.696419
6.041182, -0.886806, 0.694622, 0.694622
6.111733, -0.858235, 0.680074, 0.680074
6.182541, -0.830284, 0.680074, 0.680074
6.253091, -0.801713, 0.680074, 0.680074
6.323899, -0.773762, 0.670820, 0.670820
6.394450, -0.745191, 0.657647, 0.657647
6.467004, -0.721454, 0.651920, 0.651920
6.537812, -0.693503, 0.650000, 0.650000
6.608362, -0.664932, 0.626498, 0.626498
6.677408, -0.632726, 0.650000, 0.650000
6.747958, -0.604154, 0.650000, 0.650000
6.816755, -0.571348, 0.650000, 0.650000
6.885870, -0.539310, 0.640312, 0.640312
6.954418, -0.505903, 0.626498, 0.626498
7.023455, -0.473676, 0.604152, 0.604152
7.092330, -0.441059, 0.626498, 0.626498
7.160716, -0.407262, 0.626498, 0.626498
7.225655, -0.365143, 0.626498, 0.626498
7.292198, -0.326896, 0.626498, 0.626498
7.356730, -0.283793, 0.626498, 0.626498
7.419337, -0.236044, 0.604152, 0.604152
7.481456, -0.187116, 0.602080, 0.602080
7.541803, -0.133911, 0.585235, 0.585235
7.602151, -0.080707, 0.559017, 0.559017
7.662498, -0.027502, 0.540833, 0.540833
7.720753, 0.030753, 0.531507, 0.531507
7.779009, 0.089009, 0.514782, 0.514782
7.837264, 0.147264, 0.500000, 0.500000
7.890469, 0.207612, 0.494975, 0.494975
7.943673, 0.267959, 0.492443, 0.492443
7.996878, 0.328306, 0.471699, 0.471699
8.050082, 0.388654, 0.460977, 0.460977
8.103287, 0.449001, 0.447214, 0.447214
8.151441, 0.511441, 0.427200, 0.427200
8.199595, 0.573880, 0.403113, 0.403113
8.247748, 0.636320, 0.390512, 0.390512
8.295902, 0.698759, 0.390512, 0.390512
8.341411, 0.762295, 0.403113, 0.403113
8.384514, 0.826826, 0.424264, 0.424264
8.422566, 0.893450, 0.427200, 0.427200
8.462444, 0.959317, 0.403113, 0.403113
8.495446, 1.028033, 0.427200, 0.427200
8.530873, 1.095744, 0.427200, 0.427200
8.563875, 1.164460, 0.403113, 0.403113
8.592446, 1.235011, 0.403113, 0.403113
8.620397, 1.305819, 0.427200, 0.427200
8.648348, 1.376626, 0.412311, 0.412311
8.676919, 1.447177, 0.447214, 0.447214
8.704045, 1.518327, 0.427200, 0.427200
8.725474, 1.591836, 0.452769, 0.452769
8.741007, 1.667788, 0.450000, 0.450000
8.755292, 1.744256, 0.450000, 0.450000
8.768091, 1.821340, 0.447214, 0.447214
8.780952, 1.898399, 0.460977, 0.460977
8.788095, 1.977825, 0.452769, 0.452769
8.795237, 2.057252, 0.450000, 0.450000
8.802380, 2.136679, 0.450000, 0.450000
8.809523, 2.216106, 0.450000, 0.450000
8.816666, 2.295533, 0.450000, 0.450000
8.820000, 2.376537, 0.450000, 0.450000
8.820000, 2.458923, 0.460977, 0.460977
8.820000, 2.541308, 0.492443, 0.492443
8.815874, 2.621984, 0.500000, 0.500000
8.808731, 2.701411, 0.502494, 0.502494
8.801588, 2.780838, 0.522015, 0.522015
8.794445, 2.860265, 0.538516, 0.538516
8.787302, 2.939692, 0.550000, 0.550000
8.787302, 3.016160, 0.550000, 0.550000
8.787302, 3.092628, 0.550000, 0.550000
8.784286, 3.167847, 0.550000, 0.550000
8.784286, 3.244315, 0.550000, 0.550000
8.784286, 3.320783, 0.550000, 0.550000
8.784286, 3.397251, 0.538516, 0.538516
8.784286, 3.473719, 0.522015, 0.522015
8.777143, 3.553146, 0.492443, 0.492443
8.770000, 3.632573, 0.412311, 0.412311
8.762857, 3.712000, 0.403113, 0.403113
